key,value
"(74, 2)",0.0002390571885144466
"(74, 3)",0.0002040571885144466
"(75, 1)",0.00027354314474116616
"(75, 2)",0.0002385431447411662
"(75, 3)",0.0002035431447411662
"(76, 1)",0.00027302667267346424
"(76, 2)",0.00023802667267346425
"(76, 3)",0.00020302667267346424
"(77, 1)",0.0002725081262754975
"(77, 2)",0.00023750812627549756
"(77, 3)",0.00020250812627549755
"(78, 1)",0.0002719878609330653
"(78, 2)",0.00023698786093306534
"(78, 3)",0.00020198786093306533
"(79, 1)",0.00027146623321004545
"(79, 2)",0.00023646623321004547
"(79, 3)",0.00020146623321004546
"(80, 1)",0.00027094360060402344
"(80, 2)",0.00023594360060402345
"(80, 3)",0.00020094360060402344
"(81, 1)",0.00027042032130128127
"(81, 2)",0.0002354203213012813
"(81, 3)",0.0002004203213012813
"(82, 1)",0.0002698967539313148
"(82, 2)",0.0002348967539313148
"(82, 3)",0.00019989675393131478
"(83, 1)",0.00026937325732104647
"(83, 2)",0.00023437325732104646
"(83, 3)",0.00019937325732104645
"(84, 1)",0.0002688501902489038
"(84, 2)",0.00023385019024890384
"(84, 3)",0.00019885019024890382
"(85, 1)",0.0002683279111989303
"(85, 2)",0.00023332791119893033
"(85, 3)",0.00019832791119893031
"(86, 1)",0.00026780677811509833
"(86, 2)",0.00023280677811509835
"(86, 3)",0.00019780677811509834
"(87, 1)",0.0002672871481559924
"(87, 2)",0.00023228714815599243
"(87, 3)",0.00019728714815599242
"(88, 1)",0.0002667693774500304
"(88, 2)",0.0002317693774500304
"(88, 3)",0.0001967693774500304
"(89, 1)",0.0002662538208513909
"(89, 2)",0.00023125382085139093
"(89, 3)",0.00019625382085139092
"(90, 1)",0.0002657408316968141
"(90, 2)",0.0002307408316968141
"(90, 3)",0.00019574083169681409
"(91, 1)",0.00026523076156344206
"(91, 2)",0.00023023076156344205
"(91, 3)",0.00019523076156344204
"(92, 1)",0.00026472396002786566
"(92, 2)",0.00022972396002786567
"(92, 3)",0.00019472396002786566
"(93, 1)",0.00026422077442654206
"(93, 2)",0.0002292207744265421
"(93, 3)",0.0001942207744265421
"(94, 1)",0.0002637215496177478
"(94, 2)",0.0002287215496177478
"(94, 3)",0.0001937215496177478
"(95, 1)",0.0002632266277452299
"(95, 2)",0.00022822662774522992
"(95, 3)",0.0001932266277452299
"(96, 1)",0.000262736348003718
"(96, 2)",0.000227736348003718
"(96, 3)",0.00019273634800371796
"(97, 1)",0.00026225104640645677
"(97, 2)",0.00022725104640645679
"(97, 3)",0.00019225104640645675
"(98, 1)",0.00026177105555491966
"(98, 2)",0.0002267710555549197
"(98, 3)",0.0001917710555549197
"(99, 1)",0.0002612967044108603
"(99, 2)",0.00022629670441086033
"(99, 3)",0.00019129670441086032
"(100, 1)",0.00026082831807085845
"(100, 2)",0.00022582831807085846
"(100, 3)",0.00019082831807085845
"(101, 1)",0.00026036621754351504
"(101, 2)",0.00022536621754351509
"(101, 3)",0.00019036621754351508
"(102, 1)",0.0002599107195294492
"(102, 2)",0.00022491071952944922
"(102, 3)",0.0001899107195294492
"(103, 1)",0.000259462136204247
"(103, 2)",0.00022446213620424705
"(103, 3)",0.00018946213620424704
"(104, 1)",0.00025902077500451244
"(104, 2)",0.00022402077500451246
"(104, 3)",0.00018902077500451245
"(105, 1)",0.0002585869384171652
"(105, 2)",0.00022358693841716525
"(105, 3)",0.00018858693841716524
"(106, 1)",0.0002581609237721317
"(106, 2)",0.00022316092377213176
"(106, 3)",0.00018816092377213175
"(107, 1)",0.0002577430230385698
"(107, 2)",0.0002227430230385698
"(107, 3)",0.00018774302303856979
"(108, 1)",0.0002573335226247675
"(108, 2)",0.00022233352262476753
"(108, 3)",0.00018733352262476752
