metric,mode,method,count,mean,std,min,median,max
equivalent_energy_kwh_per_km,success_only,OEAC-i,723,0.5685082727436253,0.006698827221457519,0.5536452411601942,0.5707186372256651,0.5813554162004297
equivalent_energy_kwh_per_km,success_only,KINO,810,0.43851712920371066,0.008031831533080737,0.4204688410324911,0.44009285991661634,0.4598365603413414
equivalent_energy_kwh_per_km,success_only,Full,810,0.29069697498854236,0.03664714357240368,0.23598589771030137,0.28278341885643504,0.3731461866464576
battery_discharge_kwh,all_runs,RF,810,0.023354754022697457,0.02732925417467761,0.0,0.010825621383297488,0.08602222201411013
battery_discharge_kwh,all_runs,HCS-i,414,1.2182262354203666e-05,0.00013282509655926966,0.0,0.0,0.0015638676976944378
battery_discharge_kwh,all_runs,OEAC-i,723,0.025868502262076973,0.0032905879018642415,0.019858523705905497,0.026426039157052467,0.031050286442117454
battery_discharge_kwh,all_runs,KINO,810,0.0036111743116119016,0.005562941107342181,0.0,0.0,0.022502991612913116
battery_discharge_kwh,all_runs,Full,810,0.1288535582063614,0.029336108443064442,0.05373937789041659,0.11933549065554058,0.20814162823218438
battery_discharge_kwh,success_only,RF,810,0.023354754022697457,0.02732925417467761,0.0,0.010825621383297488,0.08602222201411013
battery_discharge_kwh,success_only,HCS-i,414,1.2182262354203666e-05,0.00013282509655926966,0.0,0.0,0.0015638676976944378
battery_discharge_kwh,success_only,OEAC-i,723,0.025868502262076973,0.0032905879018642415,0.019858523705905497,0.026426039157052467,0.031050286442117454
battery_discharge_kwh,success_only,KINO,810,0.0036111743116119016,0.005562941107342181,0.0,0.0,0.022502991612913116
battery_discharge_kwh,success_only,Full,810,0.1288535582063614,0.029336108443064442,0.05373937789041659,0.11933549065554058,0.20814162823218438
brake_loss_kwh,all_runs,RF,810,0.05191318158731687,0.06334702473763881,0.0,0.0184810109064986,0.19437270234069473
brake_loss_kwh,all_runs,HCS-i,414,0.0005905306937826262,0.0005010960056385003,0.00013493945520585282,0.0005517068818610277,0.005721774658603566
brake_loss_kwh,all_runs,OEAC-i,723,0.03205910083478502,0.008898906259413683,0.01184149031699113,0.03218327177366618,0.04764453158087332
brake_loss_kwh,all_runs,KINO,810,0.003946383887145984,0.010687646063442661,0.0,0.0,0.0373606072141925
brake_loss_kwh,all_runs,Full,810,0.01589547693815049,0.017373088842543603,0.0,0.0019724187116565437,0.08151945579065994
brake_loss_kwh,success_only,RF,810,0.05191318158731687,0.06334702473763881,0.0,0.0184810109064986,0.19437270234069473
brake_loss_kwh,success_only,HCS-i,414,0.0005905306937826262,0.0005010960056385003,0.00013493945520585282,0.0005517068818610277,0.005721774658603566
brake_loss_kwh,success_only,OEAC-i,723,0.03205910083478502,0.008898906259413683,0.01184149031699113,0.03218327177366618,0.04764453158087332
brake_loss_kwh,success_only,KINO,810,0.003946383887145984,0.010687646063442661,0.0,0.0,0.0373606072141925
brake_loss_kwh,success_only,Full,810,0.01589547693815049,0.017373088842543603,0.0,0.0019724187116565437,0.08151945579065994
